No input file given, ALL IS LOST. ABANDON SHIP!!!!!!!!!!!!!!!!
Token List:
  >>  Ln:   1	Cl: 1		Type:  MP_PROGRAM		Lex:  program
  >>  Ln:   9	Cl: 146		Type:  MP_NEQUAL		Lex:  <>
  >>  Ln:   9	Cl: 149		Type:  MP_NOT		Lex:  not
  >>  Ln:   9	Cl: 153		Type:  MP_TRUE		Lex:  true
  >>  Ln:   9	Cl: 157		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   10	Cl: 11		Type:  MP_END		Lex:  end
  >>  Ln:   10	Cl: 14		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   12	Cl: 8		Type:  MP_FUNCTION		Lex:  function
  >>  Ln:   12	Cl: 17		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   12	Cl: 19		Type:  MP_COLON		Lex:  :
  >>  Ln:   12	Cl: 21		Type:  MP_BOOLEAN		Lex:  boolean
  >>  Ln:   12	Cl: 28		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   13	Cl: 12		Type:  MP_VAR		Lex:  var
  >>  Ln:   13	Cl: 16		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   13	Cl: 18		Type:  MP_COLON		Lex:  :
  >>  Ln:   13	Cl: 20		Type:  MP_INTEGER		Lex:  integer
  >>  Ln:   13	Cl: 27		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   15	Cl: 11		Type:  MP_FUNCTION		Lex:  function
  >>  Ln:   15	Cl: 20		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   15	Cl: 22		Type:  MP_COLON		Lex:  :
  >>  Ln:   15	Cl: 24		Type:  MP_BOOLEAN		Lex:  boolean
  >>  Ln:   15	Cl: 31		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   17	Cl: 14		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   18	Cl: 18		Type:  MP_IF		Lex:  if
  >>  Ln:   18	Cl: 20		Type:  MP_PLUS		Lex:  +
  >>  Ln:   18	Cl: 22		Type:  MP_NOT		Lex:  not
  >>  Ln:   18	Cl: 26		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   18	Cl: 34		Type:  MP_OR		Lex:  or
  >>  Ln:   18	Cl: 37		Type:  MP_NOT		Lex:  not
  >>  Ln:   18	Cl: 41		Type:  MP_FALSE		Lex:  false
  >>  Ln:   18	Cl: 46		Type:  MP_LEQUAL		Lex:  <=
  >>  Ln:   18	Cl: 49		Type:  MP_TRUE		Lex:  true
  >>  Ln:   18	Cl: 54		Type:  MP_THEN		Lex:  then
  >>  Ln:   18	Cl: 59		Type:  MP_FOR		Lex:  for
  >>  Ln:   18	Cl: 63		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   18	Cl: 65		Type:  MP_ASSIGN		Lex:  :=
  >>  Ln:   18	Cl: 68		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   18	Cl: 77		Type:  MP_DIV		Lex:  div
  >>  Ln:   18	Cl: 81		Type:  MP_TRUE		Lex:  true
  >>  Ln:   18	Cl: 86		Type:  MP_DOWNTO		Lex:  downto
  >>  Ln:   18	Cl: 93		Type:  MP_NOT		Lex:  not
  >>  Ln:   18	Cl: 97		Type:  MP_TRUE		Lex:  true
  >>  Ln:   18	Cl: 101		Type:  MP_LEQUAL		Lex:  <=
  >>  Ln:   18	Cl: 104		Type:  MP_FALSE		Lex:  false
  >>  Ln:   18	Cl: 110		Type:  MP_DO		Lex:  do
  >>  Ln:   18	Cl: 113		Type:  MP_IF		Lex:  if
  >>  Ln:   18	Cl: 115		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   18	Cl: 117		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   18	Cl: 124		Type:  MP_TIMES		Lex:  *
  >>  Ln:   18	Cl: 126		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   18	Cl: 134		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   18	Cl: 135		Type:  MP_NEQUAL		Lex:  <>
  >>  Ln:   18	Cl: 137		Type:  MP_MINUS		Lex:  -
  >>  Ln:   18	Cl: 139		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   18	Cl: 147		Type:  MP_MOD		Lex:  mod
  >>  Ln:   18	Cl: 151		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   18	Cl: 160		Type:  MP_THEN		Lex:  then
  >>  Ln:   18	Cl: 165		Type:  MP_REPEAT		Lex:  repeat
  >>  Ln:   18	Cl: 172		Type:  MP_REPEAT		Lex:  repeat
  >>  Ln:   18	Cl: 179		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   18	Cl: 181		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   20	Cl: 17		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   22	Cl: 20		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   24	Cl: 23		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   25	Cl: 27		Type:  MP_FOR		Lex:  for
  >>  Ln:   25	Cl: 31		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   25	Cl: 33		Type:  MP_ASSIGN		Lex:  :=
  >>  Ln:   25	Cl: 36		Type:  MP_TRUE		Lex:  true
  >>  Ln:   25	Cl: 41		Type:  MP_TO		Lex:  to
  >>  Ln:   25	Cl: 43		Type:  MP_MINUS		Lex:  -
  >>  Ln:   25	Cl: 45		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   25	Cl: 54		Type:  MP_DO		Lex:  do
  >>  Ln:   25	Cl: 57		Type:  MP_READ		Lex:  read
  >>  Ln:   25	Cl: 61		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   25	Cl: 63		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   25	Cl: 65		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   25	Cl: 66		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   26	Cl: 27		Type:  MP_IF		Lex:  if
  >>  Ln:   26	Cl: 30		Type:  MP_TRUE		Lex:  true
  >>  Ln:   26	Cl: 35		Type:  MP_THEN		Lex:  then
  >>  Ln:   26	Cl: 40		Type:  MP_WRITELN		Lex:  writeln
  >>  Ln:   26	Cl: 47		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   26	Cl: 48		Type:  MP_MINUS		Lex:  -
  >>  Ln:   26	Cl: 50		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   26	Cl: 52		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   26	Cl: 54		Type:  MP_TRUE		Lex:  true
  >>  Ln:   26	Cl: 58		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   26	Cl: 59		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   26	Cl: 60		Type:  MP_MINUS		Lex:  -
  >>  Ln:   26	Cl: 62		Type:  MP_FALSE		Lex:  false
  >>  Ln:   26	Cl: 67		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   26	Cl: 68		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   26	Cl: 70		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   26	Cl: 78		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   26	Cl: 80		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   26	Cl: 82		Type:  MP_EQUAL		Lex:  =
  >>  Ln:   26	Cl: 83		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   26	Cl: 84		Type:  MP_MINUS		Lex:  -
  >>  Ln:   26	Cl: 86		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   26	Cl: 89		Type:  MP_AND		Lex:  and
  >>  Ln:   26	Cl: 93		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   26	Cl: 100		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   26	Cl: 101		Type:  MP_TIMES		Lex:  *
  >>  Ln:   26	Cl: 103		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   26	Cl: 111		Type:  MP_MINUS		Lex:  -
  >>  Ln:   26	Cl: 112		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   26	Cl: 114		Type:  MP_TRUE		Lex:  true
  >>  Ln:   26	Cl: 119		Type:  MP_MOD		Lex:  mod
  >>  Ln:   26	Cl: 122		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   26	Cl: 124		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   26	Cl: 126		Type:  MP_GTHAN		Lex:  >
  >>  Ln:   26	Cl: 128		Type:  MP_TRUE		Lex:  true
  >>  Ln:   26	Cl: 132		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   26	Cl: 133		Type:  MP_EQUAL		Lex:  =
  >>  Ln:   26	Cl: 135		Type:  MP_FALSE		Lex:  false
  >>  Ln:   26	Cl: 140		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   26	Cl: 141		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   26	Cl: 143		Type:  MP_ELSE		Lex:  else
  >>  Ln:   27	Cl: 23		Type:  MP_END		Lex:  end
  >>  Ln:   28	Cl: 20		Type:  MP_END		Lex:  end
  >>  Ln:   28	Cl: 23		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   30	Cl: 17		Type:  MP_END		Lex:  end
  >>  Ln:   30	Cl: 21		Type:  MP_UNTIL		Lex:  until
  >>  Ln:   30	Cl: 26		Type:  MP_MINUS		Lex:  -
  >>  Ln:   30	Cl: 27		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   30	Cl: 29		Type:  MP_TRUE		Lex:  true
  >>  Ln:   30	Cl: 33		Type:  MP_GTHAN		Lex:  >
  >>  Ln:   30	Cl: 35		Type:  MP_FALSE		Lex:  false
  >>  Ln:   30	Cl: 40		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   30	Cl: 41		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   31	Cl: 18		Type:  MP_READ		Lex:  read
  >>  Ln:   31	Cl: 22		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   31	Cl: 24		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   31	Cl: 26		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   31	Cl: 27		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   32	Cl: 18		Type:  MP_IF		Lex:  if
  >>  Ln:   32	Cl: 21		Type:  MP_NOT		Lex:  not
  >>  Ln:   32	Cl: 24		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   32	Cl: 26		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   32	Cl: 33		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   32	Cl: 34		Type:  MP_GEQUAL		Lex:  >=
  >>  Ln:   32	Cl: 37		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   32	Cl: 45		Type:  MP_THEN		Lex:  then
  >>  Ln:   32	Cl: 50		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   32	Cl: 53		Type:  MP_UNTIL		Lex:  until
  >>  Ln:   32	Cl: 59		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   33	Cl: 14		Type:  MP_END		Lex:  end
  >>  Ln:   33	Cl: 17		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   35	Cl: 11		Type:  MP_FUNCTION		Lex:  function
  >>  Ln:   35	Cl: 20		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   35	Cl: 22		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   35	Cl: 24		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   35	Cl: 26		Type:  MP_COLON		Lex:  :
  >>  Ln:   35	Cl: 28		Type:  MP_INTEGER		Lex:  integer
  >>  Ln:   35	Cl: 35		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   36	Cl: 15		Type:  MP_VAR		Lex:  var
  >>  Ln:   36	Cl: 19		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   36	Cl: 21		Type:  MP_COLON		Lex:  :
  >>  Ln:   36	Cl: 23		Type:  MP_FLOAT		Lex:  float
  >>  Ln:   36	Cl: 28		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   37	Cl: 15		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 17		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 19		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 21		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 23		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 25		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 27		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 29		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 31		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 33		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 35		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 37		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 39		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 41		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 43		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 45		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   37	Cl: 47		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   37	Cl: 49		Type:  MP_COLON		Lex:  :
  >>  Ln:   37	Cl: 51		Type:  MP_INTEGER		Lex:  integer
  >>  Ln:   37	Cl: 58		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   37	Cl: 59		Type:  MP_COLON		Lex:  :
  >>  Ln:   37	Cl: 61		Type:  MP_STRING		Lex:  string
  >>  Ln:   37	Cl: 67		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   39	Cl: 14		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   40	Cl: 18		Type:  MP_FOR		Lex:  for
  >>  Ln:   40	Cl: 22		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   40	Cl: 24		Type:  MP_ASSIGN		Lex:  :=
  >>  Ln:   40	Cl: 26		Type:  MP_MINUS		Lex:  -
  >>  Ln:   40	Cl: 28		Type:  MP_FALSE		Lex:  false
  >>  Ln:   40	Cl: 34		Type:  MP_MOD		Lex:  mod
  >>  Ln:   40	Cl: 38		Type:  MP_FALSE		Lex:  false
  >>  Ln:   40	Cl: 43		Type:  MP_LTHAN		Lex:  <
  >>  Ln:   40	Cl: 45		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   40	Cl: 53		Type:  MP_DOWNTO		Lex:  downto
  >>  Ln:   40	Cl: 60		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   40	Cl: 68		Type:  MP_DO		Lex:  do
  >>  Ln:   41	Cl: 17		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   43	Cl: 17		Type:  MP_END		Lex:  end
  >>  Ln:   44	Cl: 14		Type:  MP_END		Lex:  end
  >>  Ln:   44	Cl: 17		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   46	Cl: 11		Type:  MP_PROCEDURE		Lex:  procedure
  >>  Ln:   46	Cl: 21		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   46	Cl: 23		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   46	Cl: 25		Type:  MP_VAR		Lex:  var
  >>  Ln:   46	Cl: 29		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   46	Cl: 31		Type:  MP_COLON		Lex:  :
  >>  Ln:   46	Cl: 33		Type:  MP_FLOAT		Lex:  float
  >>  Ln:   46	Cl: 38		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   46	Cl: 39		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   47	Cl: 15		Type:  MP_VAR		Lex:  var
  >>  Ln:   47	Cl: 19		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   47	Cl: 21		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   47	Cl: 23		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   47	Cl: 25		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   47	Cl: 27		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   47	Cl: 29		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   47	Cl: 31		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   47	Cl: 33		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   47	Cl: 35		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   47	Cl: 37		Type:  MP_COLON		Lex:  :
  >>  Ln:   47	Cl: 39		Type:  MP_STRING		Lex:  string
  >>  Ln:   47	Cl: 45		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   49	Cl: 14		Type:  MP_PROCEDURE		Lex:  procedure
  >>  Ln:   49	Cl: 24		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   49	Cl: 26		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   50	Cl: 18		Type:  MP_VAR		Lex:  var
  >>  Ln:   50	Cl: 22		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   50	Cl: 24		Type:  MP_COLON		Lex:  :
  >>  Ln:   50	Cl: 26		Type:  MP_BOOLEAN		Lex:  boolean
  >>  Ln:   50	Cl: 33		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   52	Cl: 17		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   53	Cl: 21		Type:  MP_IF		Lex:  if
  >>  Ln:   53	Cl: 24		Type:  MP_FALSE		Lex:  false
  >>  Ln:   53	Cl: 29		Type:  MP_GTHAN		Lex:  >
  >>  Ln:   53	Cl: 31		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   53	Cl: 40		Type:  MP_THEN		Lex:  then
  >>  Ln:   53	Cl: 45		Type:  MP_FOR		Lex:  for
  >>  Ln:   53	Cl: 49		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   53	Cl: 51		Type:  MP_ASSIGN		Lex:  :=
  >>  Ln:   53	Cl: 54		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   53	Cl: 57		Type:  MP_AND		Lex:  and
  >>  Ln:   53	Cl: 61		Type:  MP_TRUE		Lex:  true
  >>  Ln:   53	Cl: 66		Type:  MP_DOWNTO		Lex:  downto
  >>  Ln:   53	Cl: 73		Type:  MP_NOT		Lex:  not
  >>  Ln:   53	Cl: 77		Type:  MP_STRING_LIT		Lex:  "STRING"
  >>  Ln:   53	Cl: 85		Type:  MP_EQUAL		Lex:  =
  >>  Ln:   53	Cl: 87		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   53	Cl: 90		Type:  MP_DO		Lex:  do
  >>  Ln:   53	Cl: 93		Type:  MP_ELSE		Lex:  else
  >>  Ln:   54	Cl: 17		Type:  MP_END		Lex:  end
  >>  Ln:   54	Cl: 20		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   56	Cl: 14		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   57	Cl: 18		Type:  MP_WRITE		Lex:  write
  >>  Ln:   57	Cl: 23		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   57	Cl: 24		Type:  MP_MINUS		Lex:  -
  >>  Ln:   57	Cl: 26		Type:  MP_FALSE		Lex:  false
  >>  Ln:   57	Cl: 31		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   58	Cl: 14		Type:  MP_END		Lex:  end
  >>  Ln:   58	Cl: 17		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   60	Cl: 11		Type:  MP_FUNCTION		Lex:  function
  >>  Ln:   60	Cl: 20		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   60	Cl: 22		Type:  MP_COLON		Lex:  :
  >>  Ln:   60	Cl: 24		Type:  MP_BOOLEAN		Lex:  boolean
  >>  Ln:   60	Cl: 31		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   62	Cl: 14		Type:  MP_PROCEDURE		Lex:  procedure
  >>  Ln:   62	Cl: 24		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   62	Cl: 26		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   64	Cl: 17		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   66	Cl: 20		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   67	Cl: 24		Type:  MP_READ		Lex:  read
  >>  Ln:   67	Cl: 28		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   67	Cl: 30		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   67	Cl: 32		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   67	Cl: 34		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   67	Cl: 36		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   67	Cl: 38		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   67	Cl: 40		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   67	Cl: 41		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   68	Cl: 24		Type:  MP_READ		Lex:  read
  >>  Ln:   68	Cl: 28		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   68	Cl: 30		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   68	Cl: 32		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   68	Cl: 34		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   68	Cl: 36		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   68	Cl: 38		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   68	Cl: 40		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   68	Cl: 42		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   68	Cl: 44		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   68	Cl: 46		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   68	Cl: 48		Type:  MP_COMMA		Lex:  ,
